graph_type,N,T_over_N,n_seeds,max_rhat_K_plain__n_flagged,max_rhat_K_plain__max,max_rhat_K_plain__mean,max_rhat_K_rank__n_flagged,max_rhat_K_rank__max,max_rhat_K_rank__mean
ar1,20,0.5,20,0/20,1.0183,1.0111,0/20,1.0433,1.0288
ar1,20,2.0,20,0/20,1.0193,1.01,1/20,1.0507,1.0304
ar1,20,5.0,20,0/20,1.02,1.0071,0/20,1.035,1.0146
ar1,20,10.0,20,0/20,1.0315,1.0102,0/20,1.0379,1.0223
ar1,50,0.5,20,0/20,1.0336,1.0204,13/20,1.1124,1.0617
erdos_renyi,20,0.5,20,3/20,1.0829,1.0333,12/20,1.1356,1.0605
erdos_renyi,20,2.0,20,7/20,1.0801,1.0451,15/20,1.1453,1.0798
erdos_renyi,20,5.0,20,3/20,1.2601,1.0398,11/20,1.2408,1.0712
erdos_renyi,20,10.0,20,6/20,1.3834,1.0584,19/20,1.3774,1.1045
erdos_renyi,50,0.5,20,19/20,1.2412,1.1059,18/20,1.6285,nan
grid,20,0.5,20,0/20,1.0319,1.018,0/20,1.0434,1.029
grid,20,2.0,20,0/20,1.0406,1.024,2/20,1.0586,1.0347
grid,20,5.0,20,0/20,1.0483,1.0268,5/20,1.0775,1.0422
grid,20,10.0,20,2/20,1.0851,1.0298,5/20,1.0993,1.0413
grid,50,0.5,20,1/20,1.0522,1.0307,14/20,1.123,1.0557
scale_free,20,0.5,20,0/20,1.0357,1.0131,4/20,1.1201,1.0433
scale_free,20,2.0,20,0/20,1.0233,1.0154,5/20,1.0769,1.0417
scale_free,20,5.0,20,0/20,1.0193,1.01,1/20,1.0554,1.0233
scale_free,20,10.0,20,0/20,1.0497,1.02,0/20,1.0435,1.0295
scale_free,50,0.5,20,2/20,1.0526,1.0283,16/20,1.2238,1.0908
sparse_factorized,20,0.5,20,8/20,1.559,1.1154,19/20,1.6412,1.2096
sparse_factorized,20,2.0,20,13/20,1.6768,1.1572,18/20,1.9085,nan
sparse_factorized,20,5.0,20,11/20,1.3012,1.0848,14/20,1.7954,nan
sparse_factorized,20,10.0,20,15/20,1.3954,1.1245,15/20,1.8176,nan
sparse_factorized,20,20.0,20,16/20,1.6221,1.206,18/20,2.1034,nan
