graph_type,N,T_over_N,n_seeds,rhat_log_posterior_plain__n_flagged,rhat_log_posterior_plain__max,rhat_log_posterior_plain__mean,rhat_log_posterior_rank__n_flagged,rhat_log_posterior_rank__max,rhat_log_posterior_rank__mean
ar1,20,0.5,20,0/20,1.0162,1.0043,0/20,1.0213,1.0107
ar1,20,2.0,20,0/20,1.0169,1.0045,0/20,1.0273,1.0114
ar1,20,5.0,20,0/20,1.0099,1.0032,0/20,1.0178,1.0074
ar1,20,10.0,20,0/20,1.0195,1.0047,0/20,1.0352,1.0147
ar1,50,0.5,20,0/20,1.0212,1.007,0/20,1.0349,1.0195
erdos_renyi,20,0.5,20,0/20,1.0067,1.002,0/20,1.0132,1.0061
erdos_renyi,20,2.0,20,0/20,1.0087,1.0033,0/20,1.0186,1.0092
erdos_renyi,20,5.0,20,0/20,1.0085,1.0032,0/20,1.0267,1.009
erdos_renyi,20,10.0,20,0/20,1.0299,1.0057,0/20,1.048,1.0153
erdos_renyi,50,0.5,20,0/20,1.0054,1.0017,0/20,1.0315,1.0141
grid,20,0.5,20,0/20,1.0096,1.0044,0/20,1.0185,1.0084
grid,20,2.0,20,0/20,1.0118,1.004,0/20,1.0196,1.0101
grid,20,5.0,20,0/20,1.0084,1.0031,0/20,1.0141,1.0072
grid,20,10.0,20,0/20,1.0056,1.0022,0/20,1.0152,1.0087
grid,50,0.5,20,0/20,1.0121,1.0039,0/20,1.0471,1.0181
scale_free,20,0.5,20,0/20,1.0157,1.0044,0/20,1.0301,1.0109
scale_free,20,2.0,20,0/20,1.0153,1.0048,0/20,1.0284,1.015
scale_free,20,5.0,20,0/20,1.013,1.0037,0/20,1.0209,1.0083
scale_free,20,10.0,20,0/20,1.0199,1.0067,0/20,1.0442,1.0175
scale_free,50,0.5,20,0/20,1.0083,1.0039,0/20,1.0379,1.018
sparse_factorized,20,0.5,20,0/20,1.0277,1.0086,1/20,1.0733,1.0219
sparse_factorized,20,2.0,20,0/20,1.0437,1.0159,8/20,1.2388,1.0589
sparse_factorized,20,5.0,20,1/20,1.0819,1.0114,3/20,1.2437,1.0491
sparse_factorized,20,10.0,20,0/20,1.0357,1.011,13/20,1.2737,1.0789
sparse_factorized,20,20.0,20,1/20,1.0632,1.0171,19/20,1.5799,1.186
