graph_type,N,T_over_N,n_seeds,max_rhat_K__n_flagged,max_rhat_K__max,max_rhat_K__mean,max_rhat_K_plain__n_flagged,max_rhat_K_plain__max,max_rhat_K_plain__mean,max_rhat_K_rank__n_flagged,max_rhat_K_rank__max,max_rhat_K_rank__mean
ar1,20,0.5,20,,,,0/20,1.0256,1.011,2/20,1.0581,1.0324
ar1,20,2.0,20,,,,0/20,1.0423,1.0113,2/20,1.0591,1.0271
ar1,20,5.0,20,,,,0/20,1.0113,1.0063,0/20,1.022,1.0139
ar1,20,10.0,20,,,,0/20,1.0432,1.0104,2/20,1.0592,1.0261
erdos_renyi,20,0.5,20,,,,3/20,1.0829,1.0333,12/20,1.1356,1.0605
erdos_renyi,20,2.0,20,,,,7/20,1.0801,1.0451,15/20,1.1453,1.0798
erdos_renyi,20,5.0,20,,,,3/20,1.2601,1.0398,11/20,1.2408,1.0712
erdos_renyi,20,10.0,20,,,,6/20,1.3834,1.0584,19/20,1.3774,1.1045
grid,20,0.5,20,,,,0/20,1.0319,1.018,0/20,1.0434,1.029
grid,20,2.0,20,,,,0/20,1.0406,1.024,2/20,1.0586,1.0347
grid,20,5.0,20,,,,0/20,1.0483,1.0268,5/20,1.0775,1.0422
grid,20,10.0,20,,,,2/20,1.0851,1.0298,5/20,1.0993,1.0413
scale_free,20,0.5,20,,,,0/20,1.0357,1.0131,4/20,1.1201,1.0433
scale_free,20,2.0,20,,,,0/20,1.0233,1.0154,5/20,1.0769,1.0417
scale_free,20,5.0,20,,,,0/20,1.0193,1.01,1/20,1.0554,1.0233
scale_free,20,10.0,20,,,,0/20,1.0497,1.02,0/20,1.0435,1.0295
sparse_factorized,20,0.5,20,,,,7/20,1.2337,1.0638,16/20,1.3088,nan
sparse_factorized,20,2.0,20,12/20,1.7278,1.1842,,,,,,
sparse_factorized,20,5.0,20,,,,12/20,1.4529,1.1247,18/20,2.2711,nan
sparse_factorized,20,10.0,20,,,,19/20,1.9332,1.2341,17/20,2.9981,nan
