graph_type,N,T_over_N,n_seeds,rhat_log_posterior__n_flagged,rhat_log_posterior__max,rhat_log_posterior__mean,rhat_log_posterior_plain__n_flagged,rhat_log_posterior_plain__max,rhat_log_posterior_plain__mean,rhat_log_posterior_rank__n_flagged,rhat_log_posterior_rank__max,rhat_log_posterior_rank__mean
ar1,20,0.5,20,,,,0/20,1.0123,1.0037,0/20,1.0174,1.0086
ar1,20,2.0,20,,,,0/20,1.0148,1.0047,0/20,1.0228,1.0107
ar1,20,5.0,20,,,,0/20,1.0099,1.0038,0/20,1.019,1.0099
ar1,20,10.0,20,,,,0/20,1.0222,1.0062,0/20,1.0466,1.0151
erdos_renyi,20,0.5,20,,,,0/20,1.0067,1.002,0/20,1.0132,1.0061
erdos_renyi,20,2.0,20,,,,0/20,1.0087,1.0033,0/20,1.0186,1.0092
erdos_renyi,20,5.0,20,,,,0/20,1.0085,1.0032,0/20,1.0267,1.009
erdos_renyi,20,10.0,20,,,,0/20,1.0299,1.0057,0/20,1.048,1.0153
grid,20,0.5,20,,,,0/20,1.0096,1.0044,0/20,1.0185,1.0084
grid,20,2.0,20,,,,0/20,1.0118,1.004,0/20,1.0196,1.0101
grid,20,5.0,20,,,,0/20,1.0084,1.0031,0/20,1.0141,1.0072
grid,20,10.0,20,,,,0/20,1.0056,1.0022,0/20,1.0152,1.0087
scale_free,20,0.5,20,,,,0/20,1.0157,1.0044,0/20,1.0301,1.0109
scale_free,20,2.0,20,,,,0/20,1.0153,1.0048,0/20,1.0284,1.015
scale_free,20,5.0,20,,,,0/20,1.013,1.0037,0/20,1.0209,1.0083
scale_free,20,10.0,20,,,,0/20,1.0199,1.0067,0/20,1.0442,1.0175
sparse_factorized,20,0.5,20,,,,0/20,1.0385,1.0083,1/20,1.0518,1.0187
sparse_factorized,20,2.0,20,0/20,1.0231,1.0073,,,,,,
sparse_factorized,20,5.0,20,,,,1/20,1.0546,1.0097,5/20,1.1412,1.0455
sparse_factorized,20,10.0,20,,,,1/20,1.1116,1.024,17/20,1.47,1.1378
